#OTU ID	ERR505083	ERR505084	ERR505085	ERR505086	ERR505087	ERR505088	ERR505089	ERR505090	ERR505091	ERR505092	ERR505093	ERR505094	ERR505095	ERR505096	ERR505097	ERR505098	ERR505099	ERR505100	ERR505101	ERR505102	ERR505103	ERR505104	ERR505105	ERR505106	ERR671910	ERR671913	ERR671914	ERR671915	ERR671916	ERR671917	ERR671923	ERR671925	ERR671929	ERR671930	ERR671931	ERR671932	ERR671934	ERR671935	ERR671936	ERR671939	ERR687883	ERR687885	ERR687887	ERR687890	ERR687892	ERR687895	ERR687896	ERR687897	SRR1950687	SRR1950688	SRR1950689	SRR1950694	SRR1950695	SRR1950701	SRR1950711	SRR1950716	SRR1950717	SRR1950724	SRR1950729	SRR1950730	SRR1950731	SRR1950736	SRR1950744	SRR1950747	SRR1950748	SRR1950749	SRR1950758	SRR1950762	SRR1950768	SRR1950769	SRR1950776	SRR1950777	SRR6853342	SRR6853343	SRR6853344	SRR6853345	SRR6853346	SRR6853347	SRR6853348	SRR6853349	SRR6853350	SRR6853351	SRR6853352	SRR6853353	SRR6853354	SRR6853355	SRR6853356	SRR6853357	SRR6853358	SRR6853359	SRR6853360	SRR6853361	SRR6853362	SRR6853363	SRR6853364	SRR6853365	SRR6853366	SRR6853367	SRR6853368	SRR6853369	SRR6853370	SRR6853371	SRR6853372	SRR6853373	SRR6853374	SRR6853375	SRR6853376	SRR6853377	SRR6853378	SRR6853379	SRR6853380	SRR6853381	SRR6853382	SRR6853383
Kazachstania servazzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kazachstania spencerorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kazachstania unispora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kluyveromyces dobzhanskii	9	13	1	3	1	0	2	0	0	2	12	1	1	0	0	0	0	0	0	0	1	0	2	4	36	25	35	30	28	24	35	37	41	25	18	23	38	41	28	22	28	50	24	32	35	30	30	33	6	0	2	0	3	14	12	5	6	16	1	5	1	11	5	10	3	6	4	2	0	1	8	4	0	0	0	1	3	1	0	23	0	37	19	4	1	2	1	0	0	0	0	33	6	3	25	4	14	0	0	1	1	1	0	0	13	2	0	0	0	0	0	30	0	30
Kluyveromyces lactis	3	4	2	5	0	1	1	3	0	0	3	2	0	0	2	0	1	4	0	6	1	1	6	6	40	44	29	29	25	25	57	43	45	39	27	23	42	44	19	37	36	30	26	35	30	23	34	41	7	0	12	0	5	16	9	6	5	29	4	0	3	6	10	15	14	9	3	2	11	5	16	8	4	0	3	13	32	2	1	4	1	2	16	1	23	0	0	0	0	0	0	9	16	1	14	4	13	0	1	3	0	0	0	0	5	2	0	3	0	0	0	31	2	27
Kluyveromyces marxianus	1	2	16	16	0	2	1	2	1	8	2	1	1	0	52	131	0	0	0	2	0	0	0	0	47	30	36	36	30	41	72	50	50	27	44	44	44	40	31	49	50	58	38	20	44	33	40	47	10	0	17	0	12	31	16	5	3	70	8	4	7	43	22	18	11	6	8	5	0	10	8	4	1	1	2	43	52	4	0	14	1	31	15	6	6	0	0	0	0	0	0	15	49	3	18	13	15	0	3	1	1	3	2	0	13	2	0	2	1	0	1	7	1	37
Lachancea dasiensis	6	3	5	1	0	1	3	0	6	11	1	2	1	1	5	1	16	18	0	9	4	0	6	4	62	34	42	37	41	48	59	46	53	48	53	47	60	46	41	38	32	45	45	47	49	39	38	51	5	0	12	0	6	15	19	4	19	21	12	3	11	15	15	10	15	1	8	7	15	5	11	4	3	0	8	5	9	4	0	5	1	15	45	6	32	0	0	0	1	0	0	20	13	4	54	0	6	1	5	3	1	5	0	2	7	3	1	1	0	0	0	22	1	0
Lachancea fermentati	1	8	3	2	1	9	12	10	5	3	3	3	2	1	1	1	1	1	0	3	0	0	12	0	60	46	58	53	56	59	83	65	92	75	71	66	80	88	78	68	75	67	77	59	78	52	59	56	4	0	3	0	6	21	17	6	3	18	10	4	6	20	21	8	4	6	6	1	1	14	7	5	2	0	2	8	0	0	0	9	0	45	35	4	4	0	0	0	0	1	1	21	3	2	37	1	29	0	0	1	0	0	0	0	1	0	1	0	0	0	1	37	1	15
Lachancea kluyveri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	4	0	1	3	0	3	2	3	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachancea lanzarotensis	3	8	0	1	0	4	1	10	0	1	2	5	1	3	5	3	0	1	1	1	0	0	1	1	33	40	32	23	36	38	35	26	44	19	34	32	27	25	25	31	38	44	28	22	34	21	25	33	5	0	6	0	5	10	7	1	1	27	8	1	3	16	21	4	5	7	6	5	0	6	7	5	1	0	0	0	0	1	0	0	2	2	7	0	1	0	0	0	0	0	0	4	0	0	6	0	4	0	5	0	0	0	0	1	1	0	0	0	0	0	0	4	1	0
Lachancea meyersii	3	1	3	5	0	1	1	0	1	0	0	0	0	1	0	2	0	1	0	1	0	1	14	2	36	24	37	48	37	30	53	50	63	35	45	55	50	35	40	57	60	52	24	28	36	36	30	35	9	0	6	0	8	10	2	6	5	34	9	3	7	20	22	15	15	7	9	0	0	2	6	2	2	2	0	0	0	0	0	4	1	5	17	3	3	1	0	0	0	0	1	12	1	1	13	0	6	0	3	0	2	0	0	0	1	0	1	0	0	0	2	2	0	0
Lachancea mirantina	4	19	3	5	2	3	4	6	30	34	2	1	35	39	2	0	1	3	2	6	1	2	0	0	54	57	43	36	54	47	73	65	69	55	52	59	71	52	62	56	62	55	56	56	53	48	53	59	7	0	12	0	7	47	8	13	15	57	3	6	15	31	37	20	29	17	16	12	5	6	6	3	9	0	78	5	11	26	0	9	1	9	88	11	15	0	0	0	2	0	0	26	20	2	68	6	10	73	3	3	0	3	2	0	3	0	1	0	0	0	1	21	2	1
Lachancea nothofagi	6	13	2	3	2	1	4	0	2	4	0	2	0	1	7	8	0	0	0	3	0	1	1	4	41	44	30	39	36	31	56	37	45	37	26	33	52	47	29	42	58	50	36	26	40	32	32	46	4	0	5	0	10	23	4	3	14	21	3	1	6	13	27	7	10	8	4	3	15	2	10	4	0	1	0	0	2	1	0	5	1	8	18	5	2	0	0	0	1	0	0	17	0	4	11	0	9	4	1	0	1	2	0	1	2	3	0	0	0	0	0	8	1	8
Lachancea quebecensis	4	6	20	16	1	3	2	4	1	2	13	5	5	0	0	0	0	0	0	4	0	0	0	6	35	24	24	37	35	19	66	80	48	68	90	61	71	71	70	60	57	64	76	46	40	35	34	37	6	0	6	0	6	11	14	3	0	9	2	1	2	0	10	10	7	7	6	2	11	3	13	2	3	0	13	6	11	0	0	8	2	10	10	1	7	1	0	0	0	0	0	9	7	2	26	0	9	0	0	3	0	0	1	0	2	0	1	0	0	0	0	11	0	14
Lachancea sp. PJ-2012a	6	11	2	3	0	1	2	0	1	0	0	0	0	0	0	0	4	4	0	3	0	0	0	0	42	29	46	36	35	27	36	40	38	24	32	40	44	35	39	30	33	38	20	23	41	34	35	53	11	0	7	0	12	15	8	5	6	30	2	1	3	15	17	10	12	9	5	6	0	2	2	3	5	1	0	2	10	6	0	7	3	11	12	0	23	1	0	0	0	0	0	17	12	2	19	0	9	0	1	0	0	0	1	1	3	1	0	0	0	0	0	3	6	0
Lachancea thermotolerans	0	1	1	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	5	0	0	1	1	48	23	36	50	41	49	52	33	39	38	27	26	43	28	30	40	35	42	38	39	31	25	30	35	0	0	2	0	4	2	1	5	2	4	1	3	4	3	12	1	3	3	2	1	5	3	5	1	0	0	1	0	0	0	0	1	2	1	16	0	0	0	0	0	0	0	0	0	1	2	13	0	4	0	0	1	0	1	0	0	6	2	0	1	0	0	0	1	0	0
Lachancea waltii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
